car_name,year,price,assemble_place,series,driven kms,num_of_seat,engine_type,transmission
 Mazda CX8 Premium,2020,31513.0,Locally assembled,SUV,79000,7,Petrol,Automatic
 Toyota Corolla altis 2.0V AT,2017,22836.0,Locally assembled,Sedan,48000,5,Petrol,Automatic
 Mercedes Benz C class C200 Exclusive,2021,55176.0,Locally assembled,Sedan,18000,5,Petrol,Automatic
 Toyota Corolla altis 1.8G AT,2018,22836.0,Locally assembled,Sedan,65000,5,Petrol,Automatic
 Peugeot 408 Premium 2.0 AT,2014,11793.0,Locally assembled,Sedan,79000,5,Petrol,Automatic
 Kia Morning SLX 1.0 AT,2005,5719.0,Imported,Hatchback,138,5,Petrol,Automatic
 Chevrolet Captiva LTZ 2.4 AT,2016,15737.0,Locally assembled,SUV,62000,7,Petrol,Automatic
 Toyota Vios 1.5E MT,2019,15184.0,Locally assembled,Sedan,63000,5,Petrol,Manual
 Chevrolet Trax 1.4 LT,2017,16762.0,Imported,SUV,70000,5,Petrol,Automatic
 Chevrolet Captiva LTZ 2.4 AT,2007,9663.0,Locally assembled,SUV,90000,7,Petrol,Automatic
 Toyota Fortuner TRD Sportivo 4x2 AT,2016,25636.0,Locally assembled,SUV,80000,8,Petrol,Automatic
 Chevrolet Cruze LTZ 1.8 AT,2016,14396.0,Locally assembled,Sedan,60000,5,Petrol,Automatic
 Honda Civic 2.0 AT,2007,11635.0,Locally assembled,Sedan,90000,5,Petrol,Automatic
 Hyundai Avante 1.6 AT,2012,13607.0,Locally assembled,Sedan,90000,5,Petrol,Automatic
 Ford Everest 2.5L 4x2 AT,2013,17275.0,Locally assembled,SUV,90000,8,Diesel,Automatic
 Porsche Panamera 4 Executive,2018,172747.0,Imported,Sedan,11000,4,Petrol,Automatic
 Chevrolet Cruze LTZ 1.8 AT,2014,11004.0,Locally assembled,Sedan,80000,5,Petrol,Automatic
 Hyundai SantaFe Cao cấp 2.2L HTRAC,2021,39046.0,Locally assembled,SUV,20000,7,Diesel,Automatic
 Mercedes Benz GLK Class GLK300 4Matic,2009,15579.0,Locally assembled,SUV,1,5,Petrol,Automatic
 Toyota Corolla altis 1.8G AT,2011,15184.0,Locally assembled,Sedan,80000,5,Petrol,Automatic
 Mercedes Benz GLC 200,2018,44922.0,Locally assembled,SUV,40000,5,Petrol,Automatic
 Toyota Camry 2.5Q,2020,36679.0,Imported,Sedan,40000,5,Petrol,Automatic
 Daewoo Lacetti 1.6 EX MT,2011,5482.0,Locally assembled,Sedan,150000,5,Petrol,Manual
 Toyota Corolla altis 1.8G AT,2019,24847.0,Locally assembled,Sedan,36800,5,Petrol,Automatic
 Chevrolet Aveo LT 1.5 MT,2014,8282.0,Locally assembled,Sedan,86000,5,Petrol,Manual
 Hyundai i20 1.4 AT,2013,12976.0,Imported,Hatchback,40000,5,Petrol,Automatic
 BMW 5 Series 525i,2003,7849.0,Locally assembled,Sedan,130000,5,Petrol,Automatic
 Mazda 6 2.5L Premium,2018,24453.0,Locally assembled,Sedan,33000,5,Petrol,Automatic
 Hyundai i10 Grand 1.2 AT,2021,15579.0,Locally assembled,Hatchback,72000,5,Petrol,Automatic
 Porsche Panamera 3.6 V6,2010,45750.0,Imported,Sedan,77600,4,Petrol,Automatic
 Suzuki Swift RS,2016,15382.0,Locally assembled,Hatchback,30000,5,Petrol,Automatic
 VinFast Fadil Tiêu chuẩn 1.4 AT,2022,12818.0,Locally assembled,Hatchback,16000,5,Petrol,Automatic
 Mercedes Benz C class C200 Avantgarde,2022,60343.0,Locally assembled,Sedan,50,5,Petrol,Automatic
 Mazda 3 1.5 AT,2017,17275.0,Locally assembled,Sedan,50000,5,Petrol,Automatic
 Toyota Fortuner 2.7V 4x2 AT,2013,18537.0,Locally assembled,SUV,86000,8,Petrol,Automatic
 Toyota Venza 2.7,2010,25242.0,Imported,Crossover,57000,5,Petrol,Automatic
 LandRover Range Rover Evoque Dynamic,2013,31513.0,Imported,SUV,680000,5,Petrol,Automatic
 Kia Cerato 1.6 AT,2018,18931.0,Locally assembled,Sedan,56000,5,Petrol,Automatic
 BMW 5 Series 520i,2018,54388.0,Imported,Sedan,13500,5,Petrol,Automatic
 Honda City 1.5,2019,17551.0,Locally assembled,Sedan,55000,5,Petrol,Automatic
 VinFast Lux SA 2.0 2.0 AT,2020,28594.0,Locally assembled,SUV,24000,7,Petrol,Automatic
 Kia Cerato 1.6 AT,2017,17551.0,Locally assembled,Sedan,56000,5,Petrol,Automatic
